"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"68","28.499718274779433","35.04725794471107","0.02392578125","0.04150390625","0.00634765625","1560","0.002425638143884848","32","0.002425638143884848","0","0.002425638143884848","0.002425638143884848","67:0.011768433249534471;69:0.0077964965400967035","67:88;69:68","67:0.018413865297916637;69:0.030163559817664498","Yes"
"69","163.4901293400647","76.4392202817784","0.030517578125","0.04150390625","0.01953125","1560","0.0003422779898946151","32","0.0003422779898946151","0","0.0003422779898946151","0.0003422779898946151","56:0.0030619340410293072;68:0.0077964965400967035;70:0.006187169821460309","56:160;68:68;70:68","56:0.004515777391283532;68:0.030163559817664498;70:0.006613510534985906","Yes"
"70","95.83882133115642","38.32994155528591","0.053466796875","0.03466796875","0.072265625","1560","0.0005097538724458728","32","0.0005097538724458728","0","0.0005097538724458728","0.0005097538724458728","69:0.006187169821460309;71:0.0027039159038232397","69:68;71:68","69:0.006613510534985906;71:0.005724184726520837","Yes"
"71","239.14103834542567","39.19794331779417","0.03271484375","0.048828125","0.0166015625","1560","0.0007135395168351063","32","0.0007135395168351063","0","0.0007135395168351063","0.0007135395168351063","75:0.003961904676307554;70:0.0027039159038232397","75:112;70:68","75:0.005037965446901493;70:0.005724184726520837","Yes"
"72","153.72881538508267","76.11911761560523","0.0078125","0.0078125","0.0078125","1560","0.0005379703856065926","32","0.0005379703856065926","0","0.0005379703856065926","0.0005379703856065926","59:0.0028885494316393534;78:0.004791979351996045","59:68;78:120","59:0.0034697386659919838;78:0.006882725790268496","Yes"
"73","194.56156054241671","112.85286636516395","0.022216796875","0.01708984375","0.02734375","1560","0.00048360452018140153","32","0.00048360452018140153","0","0.00048360452018140153","0.00048360452018140153","82:0.0017888042829203865;63:0.003311598483814182","82:88;63:88","82:0.004644538762559297;63:0.004818382760245654","Yes"
"74","261.5968717381125","130.86827441227754","0.023681640625","0.03125","0.01611328125","1560","0.0006216392057468004","32","0.0006216392057468004","0","0.0006216392057468004","0.0006216392057468004","86:0.0027960991068447794;67:0.0035020117378808113","86:68;67:72","86:0.0032106890740959404;67:0.005094316347277167","Yes"
"75","241.6980156534457","114.94621976421051","0.01171875","0.01220703125","0.01123046875","1560","0.0012847169404888255","32","0.0012847169404888255","0","0.0012847169404888255","0.0012847169404888255","90:0.0026636633077845584;71:0.003961904676307554","90:88;71:112","90:0.003693448888496542;71:0.005037965446901493","Yes"
"76","163.15241222052254","199.85782410043637","0.0224609375","0.01416015625","0.03076171875","1560","0.00018535816259639582","32","0.00018535816259639582","0","0.00018535816259639582","0.00018535816259639582","91:0.00805128254079951;77:0.0024929141312567127","91:68;77:68","91:0.002334078869810241;77:0.005623420434376802","Yes"
"77","229.5326082274625","183.59532515606028","0.031005859375","0.0205078125","0.04150390625","1560","0.00018271969878899552","32","0.00018271969878899552","0","0.00018271969878899552","0.00018271969878899552","78:0.0019688388814984026;76:0.0024929141312567127","78:68;76:68","78:0.0032794636733533278;76:0.005623420434376802","Yes"
